Time,Date,Force1,Force2,Force
15:12:24,21/03/2023,322.02,319.99,642.01
15:12:26,21/03/2023,321.9,319.83,641.72
15:12:28,21/03/2023,321.8,319.73,641.53
15:12:30,21/03/2023,321.7,319.67,641.37
15:12:32,21/03/2023,321.61,319.54,641.15
15:12:34,21/03/2023,321.55,319.48,641.03
15:12:36,21/03/2023,321.39,319.38,640.77
15:12:38,21/03/2023,321.39,319.29,640.68
15:12:40,21/03/2023,321.29,319.13,640.42
15:12:42,21/03/2023,321.16,319.1,640.26
15:12:44,21/03/2023,321.07,319,640.07
15:12:45,21/03/2023,321.01,318.94,639.94
15:12:47,21/03/2023,320.97,318.81,639.79
15:12:49,21/03/2023,320.82,318.75,639.56
15:12:51,21/03/2023,320.78,318.62,639.4
15:12:53,21/03/2023,320.75,318.59,639.34
15:12:55,21/03/2023,320.62,318.49,639.12
15:12:57,21/03/2023,320.56,318.37,638.93
15:12:59,21/03/2023,320.53,318.3,638.83
15:13:01,21/03/2023,320.4,318.21,638.61
15:13:02,21/03/2023,320.31,318.11,638.42
15:13:04,21/03/2023,320.24,318.02,638.26
15:13:06,21/03/2023,320.24,317.95,638.2
15:13:08,21/03/2023,320.12,317.89,638.01
15:13:10,21/03/2023,320.05,317.76,637.82
15:13:12,21/03/2023,320.02,317.7,637.72
15:13:14,21/03/2023,319.93,317.6,637.53
15:13:16,21/03/2023,319.86,317.57,637.43
15:13:18,21/03/2023,319.77,317.48,637.24
15:13:19,21/03/2023,319.7,317.35,637.05
15:13:21,21/03/2023,319.58,317.35,636.93
15:13:23,21/03/2023,319.67,317.29,636.96
15:13:25,21/03/2023,319.54,317.16,636.7
15:13:27,21/03/2023,319.51,317.1,636.61
15:13:29,21/03/2023,319.35,317,636.35
15:13:31,21/03/2023,319.32,316.94,636.26
15:13:33,21/03/2023,319.29,316.78,636.07
15:13:35,21/03/2023,319.19,316.75,635.94
15:13:37,21/03/2023,319.19,316.68,635.88
15:13:38,21/03/2023,319.16,316.62,635.78
15:13:40,21/03/2023,319.04,316.56,635.59
15:13:42,21/03/2023,318.94,316.49,635.43
15:13:44,21/03/2023,318.91,316.37,635.27
15:13:46,21/03/2023,318.85,316.33,635.18
15:13:48,21/03/2023,318.78,316.27,635.05
15:13:50,21/03/2023,318.75,316.17,634.92
15:13:52,21/03/2023,318.69,316.11,634.8
15:13:54,21/03/2023,318.62,316.08,634.7
15:13:55,21/03/2023,318.59,315.95,634.54
15:13:57,21/03/2023,318.56,315.92,634.48
15:13:59,21/03/2023,318.43,315.83,634.26
15:14:01,21/03/2023,318.4,315.76,634.16
15:14:03,21/03/2023,318.31,315.73,634.04
15:14:05,21/03/2023,318.27,315.63,633.91
15:14:07,21/03/2023,318.24,315.57,633.81
15:14:09,21/03/2023,318.21,315.51,633.72
15:14:11,21/03/2023,318.11,315.48,633.59
15:14:12,21/03/2023,318.11,315.41,633.53
15:14:14,21/03/2023,318.05,315.32,633.37
15:14:16,21/03/2023,318.02,315.29,633.3
15:14:18,21/03/2023,317.96,315.19,633.15
15:14:20,21/03/2023,317.89,315.13,633.02
15:14:22,21/03/2023,317.83,315.03,632.86
15:14:24,21/03/2023,317.77,315,632.76
15:14:26,21/03/2023,317.73,314.97,632.7
15:14:28,21/03/2023,317.7,314.9,632.61
15:14:30,21/03/2023,317.61,314.81,632.41
15:14:31,21/03/2023,317.67,314.75,632.41
15:14:33,21/03/2023,317.54,314.68,632.22
15:14:35,21/03/2023,317.51,314.71,632.22
15:14:37,21/03/2023,317.42,314.59,632
15:14:39,21/03/2023,317.38,314.52,631.91
15:14:41,21/03/2023,317.38,314.49,631.87
15:14:43,21/03/2023,317.29,314.4,631.68
15:14:45,21/03/2023,317.29,314.33,631.62
15:14:47,21/03/2023,317.19,314.33,631.53
15:14:48,21/03/2023,317.13,314.2,631.33
15:14:50,21/03/2023,317.07,314.17,631.24
15:14:52,21/03/2023,317.03,314.11,631.14
15:14:54,21/03/2023,317,314.08,631.08
15:14:56,21/03/2023,317,314.01,631.02
15:14:58,21/03/2023,316.97,313.95,630.92
15:15:00,21/03/2023,316.88,313.92,630.79
15:15:02,21/03/2023,316.84,313.89,630.73
15:15:04,21/03/2023,316.84,313.79,630.64
15:15:05,21/03/2023,316.81,313.73,630.54
15:15:07,21/03/2023,316.75,313.76,630.51
15:15:09,21/03/2023,316.68,313.7,630.38
15:15:11,21/03/2023,316.65,313.57,630.22
15:15:13,21/03/2023,316.65,313.54,630.19
15:15:15,21/03/2023,316.62,313.51,630.13
15:15:17,21/03/2023,316.53,313.41,629.94
15:15:19,21/03/2023,316.49,313.41,629.9
15:15:21,21/03/2023,316.46,313.38,629.84
15:15:23,21/03/2023,316.43,313.38,629.81
15:15:24,21/03/2023,316.43,313.32,629.75
15:15:26,21/03/2023,316.3,313.22,629.52
15:15:28,21/03/2023,316.27,313.12,629.4
15:15:30,21/03/2023,316.24,313.16,629.4
15:15:32,21/03/2023,316.21,313.09,629.3
15:15:34,21/03/2023,316.14,313,629.14
15:15:36,21/03/2023,316.11,313,629.11
15:15:38,21/03/2023,316.11,312.97,629.08
15:15:40,21/03/2023,316.05,312.9,628.95
15:15:41,21/03/2023,315.99,312.84,628.82
15:15:43,21/03/2023,315.92,312.78,628.7
15:15:45,21/03/2023,315.92,312.78,628.7
15:15:47,21/03/2023,315.89,312.74,628.63
15:15:49,21/03/2023,315.86,312.71,628.57
15:15:51,21/03/2023,315.76,312.62,628.38
15:15:53,21/03/2023,315.76,312.55,628.32
15:15:55,21/03/2023,315.73,312.55,628.28
15:15:57,21/03/2023,315.67,312.49,628.16
15:15:58,21/03/2023,315.67,312.43,628.09
15:16:00,21/03/2023,315.67,312.43,628.09
15:16:02,21/03/2023,315.6,312.36,627.97
15:16:04,21/03/2023,315.57,312.33,627.9
15:16:06,21/03/2023,315.54,312.33,627.87
15:16:08,21/03/2023,315.54,312.23,627.78
15:16:10,21/03/2023,315.45,312.2,627.65
15:16:12,21/03/2023,315.41,312.17,627.59
15:16:14,21/03/2023,315.38,312.14,627.52
15:16:16,21/03/2023,315.32,312.04,627.36
15:16:17,21/03/2023,315.35,312.01,627.36
15:16:19,21/03/2023,315.32,312.01,627.33
15:16:21,21/03/2023,315.26,311.95,627.2
15:16:23,21/03/2023,315.22,311.95,627.17
15:16:25,21/03/2023,315.16,311.89,627.05
15:16:27,21/03/2023,315.13,311.82,626.95
15:16:29,21/03/2023,315.13,311.79,626.92
15:16:31,21/03/2023,315.13,311.76,626.89
15:16:33,21/03/2023,315.03,311.73,626.76
15:16:34,21/03/2023,315,311.69,626.7
15:16:36,21/03/2023,314.97,311.63,626.6
15:16:38,21/03/2023,314.91,311.6,626.51
15:16:40,21/03/2023,314.87,311.57,626.44
15:16:42,21/03/2023,314.84,311.54,626.38
15:16:44,21/03/2023,314.84,311.5,626.35
15:16:46,21/03/2023,314.78,311.44,626.22
15:16:48,21/03/2023,314.71,311.5,626.22
15:16:50,21/03/2023,314.68,311.41,626.09
15:16:51,21/03/2023,314.65,311.35,626
15:16:53,21/03/2023,314.65,311.31,625.96
15:16:55,21/03/2023,314.62,311.31,625.93
15:16:57,21/03/2023,314.59,311.28,625.87
15:16:59,21/03/2023,314.52,311.22,625.74
15:17:01,21/03/2023,314.49,311.19,625.68
15:17:03,21/03/2023,314.49,311.15,625.65
15:17:05,21/03/2023,314.43,311.12,625.55
15:17:07,21/03/2023,314.43,311.12,625.55
15:17:09,21/03/2023,314.37,311.03,625.39
15:17:10,21/03/2023,314.37,311,625.36
15:17:12,21/03/2023,314.33,310.96,625.3
