State_of_Charge,StateofCharge,Voltage,DischargeVoltage,ChargeVoltage,DischargeEnergy
0,0,3.0962455,2.999663,3.192828,22.90087
0.005,0.5,3.2672105,3.214577,3.319844,22.815139999999996
0.01,1,3.354468,3.326288,3.382648,22.705139999999997
0.015,1.5,3.4153149999999997,3.388029,3.442601,22.611229999999995
0.02,2,3.462782,3.43649,3.489074,22.51561
0.025,2.5,3.50252,3.484639,3.520401,22.39908
0.03,3,3.535959,3.517331,3.554587,22.30083
0.035,3.5,3.565422,3.546229,3.584615,22.201689999999996
0.0405,4.05,3.5937985,3.577083,3.610514,22.08169
0.045,4.5,3.6140654999999997,3.599334,3.628797,21.981059999999996
0.05,5,3.6342455,3.618999,3.649492,21.879899999999996
0.055,5.5,3.652361,3.636813,3.667909,21.77797
0.06,6,3.6692935,3.656594,3.681993,21.654969999999995
0.065,6.5,3.681488,3.667807,3.695169,21.552229999999998
0.07,7,3.6891115,3.676777,3.701446,21.449229999999996
0.075,7.5,3.692365,3.681623,3.703107,21.32541
0.08,8,3.6940825,3.683934,3.704231,21.222269999999998
0.085,8.5,3.6951340000000004,3.685357,3.704911,21.119109999999996
0.09,9,3.6970025,3.687317,3.706688,20.994779999999995
0.095,9.5,3.6982014999999997,3.688471,3.707932,20.891069999999996
0.1,10,3.6995655000000003,3.689541,3.70959,20.787179999999996
0.105,10.5,3.6999315,3.689151,3.710712,20.66304
0.11,11,3.701535,3.690448,3.712622,20.55956
0.115,11.5,3.7024915,3.691213,3.71377,20.4562
0.12,12,3.7043545,3.691988,3.716721,20.352430000000002
0.125,12.5,3.7063620000000004,3.69348,3.719244,20.22785
0.13,13,3.7086889999999997,3.695941,3.721437,20.12398
0.13449999999999998,13.45,3.7124335,3.700189,3.724678,20.02027
0.14,14,3.7166655000000004,3.704572,3.728759,19.895329999999998
0.145,14.5,3.719761,3.707415,3.732107,19.791079999999997
0.15,15,3.7227605,3.709658,3.735863,19.68659
0.155,15.5,3.725999,3.712958,3.73904,19.58205
0.16,16,3.728162,3.714991,3.741333,19.45692
0.165,16.5,3.7314809999999996,3.717071,3.745891,19.35271
0.17,17,3.7339045000000004,3.719209,3.7486,19.24824
0.175,17.5,3.736841,3.721531,3.752151,19.122719999999997
0.18,18,3.7394165,3.724054,3.754779,19.018329999999995
0.185,18.5,3.7414405,3.726334,3.756547,18.913819999999998
0.19,19,3.7445765,3.729146,3.760007,18.78851
0.195,19.5,3.7460565,3.730602,3.761511,18.68395
0.19949999999999998,19.95,3.7487005,3.733233,3.764168,18.579069999999998
0.205,20.5,3.750911,3.735613,3.766209,18.47396
0.21,21,3.7529895,3.737249,3.76873,18.34779
0.215,21.5,3.7548995,3.73912,3.770679,18.243219999999997
0.22,22,3.7567895,3.740506,3.773073,18.13833
0.225,22.5,3.759028,3.741982,3.776074,18.01239
0.23,23,3.7610295000000002,3.743611,3.778448,17.90731
