State_of_Charge,StateofCharge,Voltage,DischargeVoltage,ChargeVoltage,DischargeEnergy
0.938,93.8,4.281467,4.244222,4.318712,1.035411843
0.94,94,4.2838265,4.246557,4.321096,1.002630843
0.942,94.2,4.28627,4.248606,4.323934,0.969837743
0.944,94.4,4.289004,4.251208,4.3268,0.937024543
0.946,94.6,4.291409,4.253364,4.329454,0.904197343
0.948,94.8,4.293907,4.255556,4.332258,0.871349143
0.95,95,4.2963535,4.258051,4.334656,0.838478243
0.952,95.2,4.298475,4.260062,4.336888,0.805594943
0.954,95.4,4.301231,4.262892,4.33957,0.767205543
0.956,95.6,4.3038545,4.265506,4.342203,0.734286543
0.958,95.8,4.3062975,4.26752,4.345075,0.701348343
0.96,96,4.30898,4.270116,4.347844,0.668388943
0.962,96.2,4.311296,4.272524,4.350068,0.635408543
0.964,96.4,4.3123095,4.274629,4.34999,0.602426043
0.966,96.6,4.313625,4.277263,4.349987,0.569428143
0.968,96.8,4.314802,4.279485,4.350119,0.536414143
0.97,97,4.315675,4.281326,4.350024,0.503381543
0.972,97.2,4.3171095,4.284245,4.349974,0.470334843
0.974,97.4,4.3183125,4.286651,4.349974,0.437260843
0.976,97.6,4.3196235,4.28928,4.349967,0.404165343
0.978,97.8,4.3207695,4.291514,4.350025,0.371052343
0.98,98,4.3220495,4.294104,4.349995,0.337926843
0.982,98.2,4.323271,4.296576,4.349966,0.304786443
0.984,98.4,4.3244225,4.298886,4.349959,0.271624243
0.986,98.6,4.3258845,4.301894,4.349875,0.232911143
0.988,98.8,4.3272965,4.304636,4.349957,0.199707543
0.99,99,4.3285505,4.307089,4.350012,0.166479443
0.992,99.2,4.3298665,4.309779,4.349954,0.133228143
0.994,99.4,4.3312445,4.312456,4.350033,0.099959443
0.996,99.6,4.3326205,4.315274,4.349967,0.066663103
0.998,99.8,4.3343665,4.31883,4.349903,0.033346563
1,100,4.3368535,4.323956,4.349751,0
